club|entrenador|fecha_nacimiento|nacionalidad|comienzo|salida|tiempo_en_cargo|partidos|ppp|fuente|temporada|fecha_carga
Universitario de Deportes|Álvaro Gutiérrez|21/07/1968|Uruguay|03/02/2022|18/04/2022|74 días|11|1,18|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Gregorio Pérez|16/01/1948|Uruguay|04/09/2021|21/01/2022|139 días|8|2,63|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Juan Pajuelo|23/09/1974|Perú|18/08/2021|04/09/2021|17 días|2|1,00|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Ángel Comizzo|27/04/1962|Argentina, Italia|20/06/2020|18/08/2021|424 días|46|1,52|Transfermarkt|2024|2026-06-11 21:32:21
Universitario de Deportes|Gregorio Pérez|16/01/1948|Uruguay|01/01/2020|12/06/2020|163 días|10|1,80|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Pablo Guede|12/11/1974|Argentina, España|12/12/2025||181 días|19|2,16|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Néstor Gorosito|14/05/1964|Argentina|01/01/2025|31/12/2025|364 días|55|1,80|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Mariano Soso|30/04/1981|Argentina|07/08/2024|21/11/2024|106 días|12|2,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Diego Ortiz|29/03/1989|Perú|29/07/2024|07/08/2024|9 días|2|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Alejandro Restrepo|30/01/1982|Colombia|24/11/2023|27/07/2024|246 días|26|1,65|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Mauricio Larriera|26/08/1970|Uruguay|02/08/2023|10/11/2023|100 días|13|2,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Nixon Perea|15/08/1973|Colombia|24/07/2023|07/08/2023|14 días|2|2,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|11/09/2022|24/07/2023|316 días|39|2,08|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Carlos Bustos|16/04/1966|Argentina|15/01/2021|11/09/2022|604 días|62|1,81|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Daniel Ahmed|22/11/1965|Argentina, Perú|06/11/2020|02/12/2020|26 días|6|0,17|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|01/11/2020|04/11/2020|3 días|1|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Mario Salas|11/10/1967|Chile|02/04/2020|01/11/2020|213 días|19|0,84|Transfermarkt|2024|2026-06-11 21:32:21
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|12/03/2020|14/03/2020|2 días|1|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Universidad César Vallejo|Guillermo del Solar|28/11/1967|Perú|30/01/2025||497 días|34|1,26|Transfermarkt|2024|2026-06-11 21:32:21
Universidad César Vallejo|Luis Hernández|15/02/1981|Perú|13/08/2024|31/12/2024|140 días|11|0,64|Transfermarkt|2024|2026-06-11 21:32:21
Universidad César Vallejo|Guillermo Salas|21/10/1974|Perú|23/03/2024|13/08/2024|143 días|21|1,00|Transfermarkt|2024|2026-06-11 21:32:21
Universidad César Vallejo|Roberto Mosquera|21/06/1956|Perú|31/08/2023|15/03/2024|197 días|16|1,38|Transfermarkt|2024|2026-06-11 21:32:21
Universidad César Vallejo|Sebastián Abreu|17/10/1976|Uruguay|17/11/2022|30/08/2023|286 días|36|1,25|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Horacio Melgarejo|27/05/1973|Argentina|01/01/2026||161 días|24|1,83|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Carlos Desio|25/01/1973|Argentina, Italia|17/04/2025|30/11/2025|227 días|34|1,53|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Cristian Díaz|12/05/1976|Argentina, Italia|05/08/2024|13/04/2025|251 días|22|1,50|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Óscar Ibáñez|08/08/1967|Perú, Argentina|11/09/2023|06/08/2024|330 días|29|1,41|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Gerardo Ameli|18/09/1970|Argentina, Italia|22/05/2023|11/09/2023|112 días|14|1,14|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Alessandro Morán|30/11/1972|Perú|19/05/2023|26/05/2023|7 días|1|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Leonel Álvarez|29/07/1965|Colombia|01/01/2023|19/05/2023|138 días|14|1,50|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Jesús Cisneros|18/03/1978|Perú|21/10/2022|01/11/2022|11 días|2|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|César Vigevani|30/08/1974|Argentina|04/07/2022|20/10/2022|108 días|16|1,19|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Lisandro Greppo|08/01/1977|Argentina, Italia|16/08/2021|26/08/2021|10 días|2|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Gerardo Ameli|18/09/1970|Argentina, Italia|16/08/2021|03/07/2022|321 días|29|1,62|Transfermarkt|2024|2026-06-11 21:32:21
Club Cienciano|Víctor Rivera|10/11/1968|Perú|01/06/2021|15/08/2021|75 días|7|0,86|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Miguel Rondelli|24/01/1978|Argentina, Italia|28/03/2026||75 días|9|1,89|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Juan Reynoso|28/12/1969|Perú|05/08/2025|21/03/2026|228 días|21|1,48|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Víctor Balta|03/01/1986|Perú|28/07/2025|11/08/2025|14 días|3|0,67|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Walter Ribonetto|06/07/1974|Argentina|01/01/2025|28/07/2025|208 días|30|1,57|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Marco Valencia|01/08/1971|Perú|28/05/2024|06/11/2024|162 días|17|1,88|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Marco Valencia|01/08/1971|Perú|05/03/2024|28/05/2024|84 días|11|2,82|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Pablo de Muner|14/04/1981|Argentina, Italia|01/01/2024|04/03/2024|63 días|8|1,00|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Mariano Soso|30/04/1981|Argentina|14/03/2023|21/11/2023|252 días|37|1,78|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Marco Valencia|01/08/1971|Perú|06/03/2023|19/03/2023|13 días|1|1,00|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Pablo Lavallén|07/09/1972|Argentina|08/07/2022|06/03/2023|241 días|29|1,59|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Néstor Lorenzo|28/02/1966|Argentina|01/01/2021|07/07/2022|552 días|63|1,86|Transfermarkt|2024|2026-06-11 21:32:21
FBC Melgar|Marco Valencia|01/08/1971|Perú|25/09/2020|31/12/2020|97 días|17|1,65|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Carlos Desio|25/01/1973|Argentina, Italia|17/03/2026||86 días|10|1,50|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Guillermo Vásquez|02/11/1978|Perú|11/03/2026|16/03/2026|5 días|1|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Jaime de la Pava|14/04/1967|Colombia|22/12/2025|11/03/2026|79 días|6|0,83|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Carlos Cabanillas|02/05/1963|Perú|27/08/2025|15/12/2025|110 días|10|1,20|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Guillermo Vásquez|02/11/1978|Perú|11/08/2025|27/08/2025|16 días|2|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Arturo Reyes|08/04/1969|Colombia|24/05/2025|11/08/2025|79 días|10|0,80|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Guillermo Vásquez|02/11/1978|Perú|12/05/2025|24/05/2025|12 días|2|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Cristian Paulucci|20/01/1973|Argentina, Italia|03/10/2024|12/05/2025|221 días|15|1,20|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Guillermo Vásquez|02/11/1978|Perú|24/09/2024|03/10/2024|9 días|1|3,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|07/06/2024|21/09/2024|106 días|11|1,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|20/04/2024|06/06/2024|47 días|5|1,60|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Fernando Gamboa|28/10/1970|Argentina|19/05/2023|20/04/2024|337 días|33|1,21|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Guillermo Vásquez|02/11/1978|Perú|17/05/2023|19/05/2023|2 días|0|-|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|08/05/2023|23/05/2023|15 días|3|1,33|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Guillermo Sanguinetti|21/06/1966|Uruguay, Italia|01/12/2022|08/05/2023|158 días|12|0,67|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|03/05/2022|04/11/2022|185 días|24|1,13|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|11/04/2022|03/05/2022|22 días|3|2,33|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Walter Fiori|19/01/1961|Argentina, Italia|04/03/2022|11/04/2022|38 días|6|0,50|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|26/02/2022|07/03/2022|9 días|2|2,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Ítalo Manzo|04/08/1974|Perú|01/09/2021|26/02/2022|178 días|12|1,42|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Gustavo Álvarez|24/11/1972|Argentina|12/05/2021|01/09/2021|112 días|12|1,75|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Juan Alayo|18/11/1985|Perú|10/05/2021|18/05/2021|8 días|1|0,00|Transfermarkt|2024|2026-06-11 21:32:21
Sport Boys Association|Teddy Cardama|15/08/1966|Perú|23/09/2020|08/05/2021|227 días|22|1,27|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Juan Carlos Malpica|25/08/1982|Perú|21/01/2026||141 días|8|2,13|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Leonardo Morales|16/05/1960|Perú|28/10/2025|31/12/2025|64 días|1|1,00|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Jesús Oropesa|31/03/1970|Perú|01/02/2025|28/10/2025|269 días|25|1,80|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Raymundo Paz|15/03/1967|Perú|26/10/2024|31/12/2024|66 días|2|0,00|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Alejandro Russo|13/02/1968|Argentina, Italia|24/08/2024|25/10/2024|62 días|8|0,50|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Kenji Aparicio|30/10/1986|Perú|06/08/2024|24/08/2024|18 días|2|0,00|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Jesús Oropesa|31/03/1970|Perú|01/06/2024|23/08/2024|83 días|5|0,80|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Andy Loayza|23/01/1993|Perú|11/04/2024|31/05/2024|50 días|7|0,43|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Milton García|13/08/1986|Colombia|23/03/2024|18/05/2024|56 días|2|0,50|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Néstor Craviotto|03/10/1963|Argentina, Italia|24/12/2023|16/03/2024|83 días|8|0,63|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Raymundo Paz|15/03/1967|Perú|24/10/2023|01/11/2023|8 días|1|3,00|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Marcelo Vivas|08/02/1966|Argentina|27/07/2023|24/10/2023|89 días|12|1,17|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Daniel Farías|14/04/1981|Venezuela|27/05/2023|23/07/2023|57 días|6|0,17|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Raymundo Paz|15/03/1967|Perú|20/05/2023|09/06/2023|20 días|3|1,33|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Jaime de la Pava|14/04/1967|Colombia|15/04/2023|14/05/2023|29 días|4|0,25|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Raymundo Paz|15/03/1967|Perú|05/04/2023|12/04/2023|7 días|1|3,00|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Jesús Oropesa|31/03/1970|Perú|17/12/2021|04/04/2023|473 días|35|1,83|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Carlos Cortijo|22/02/1969|Perú|10/07/2021|30/11/2021|143 días|18|1,83|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Richard Parra|17/11/1967|Colombia|18/03/2021|09/07/2021|113 días|10|1,60|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Ítalo Manzo|04/08/1974|Perú|10/11/2020|31/12/2020|51 días|7|1,43|Transfermarkt|2024|2026-06-11 21:32:21
CD Unión Comercio|Leonardo Morales|16/05/1960|Perú|29/01/2020|06/11/2020|282 días|2|0,50|Transfermarkt|2024|2026-06-11 21:32:21
