club|entrenador|fecha_nacimiento|nacionalidad|comienzo|salida|tiempo_en_cargo|partidos|ppp|fuente|temporada|fecha_carga
Club Sporting Cristal|Zé Ricardo|13/03/1971|Brasil, Italia|02/04/2026|05/06/2026|64 días|14|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Paulo Autuori|25/08/1956|Brasil|16/04/2025|25/03/2026|343 días|46|1,74|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Jorge Soto|21/10/1971|Perú|10/04/2025|20/04/2025|10 días|2|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Guillermo Farré|16/03/1981|Argentina|17/06/2024|10/04/2025|297 días|26|1,69|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Enderson Moreira|28/09/1971|Brasil|24/11/2023|31/05/2024|189 días|19|2,26|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Tiago Nunes|15/02/1980|Brasil|17/11/2022|11/11/2023|359 días|47|1,79|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Roberto Mosquera|21/06/1956|Perú|23/02/2020|07/11/2022|988 días|115|1,93|Transfermarkt|2020|2026-06-11 19:19:24
Club Sporting Cristal|Jorge Soto|21/10/1971|Perú|20/02/2020|23/02/2020|3 días|1|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Universidad César Vallejo|Guillermo del Solar|28/11/1967|Perú|30/01/2025||497 días|34|1,26|Transfermarkt|2020|2026-06-11 19:19:24
Universidad César Vallejo|Luis Hernández|15/02/1981|Perú|13/08/2024|31/12/2024|140 días|11|0,64|Transfermarkt|2020|2026-06-11 19:19:24
Universidad César Vallejo|Guillermo Salas|21/10/1974|Perú|23/03/2024|13/08/2024|143 días|21|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Universidad César Vallejo|Roberto Mosquera|21/06/1956|Perú|31/08/2023|15/03/2024|197 días|16|1,38|Transfermarkt|2020|2026-06-11 19:19:24
Universidad César Vallejo|Sebastián Abreu|17/10/1976|Uruguay|17/11/2022|30/08/2023|286 días|36|1,25|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Mario Viera|19/10/1959|Uruguay|24/12/2025||169 días|7|1,57|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Luis Cordero|08/04/1981|Perú|16/06/2025|30/11/2025|167 días|11|1,36|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Pablo Rubinich|27/12/1978|Argentina|30/01/2025|16/06/2025|137 días|9|1,11|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Salomón Paredes|12/10/1965|Perú|27/07/2024|31/12/2024|157 días|14|1,14|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Milton Mendes|25/04/1965|Brasil, Portugal|20/04/2024|27/07/2024|98 días|8|0,50|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Salomón Paredes|12/10/1965|Perú|08/04/2024|21/04/2024|13 días|2|1,50|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Franco Navarro|10/11/1961|Perú|05/11/2023|07/04/2024|154 días|10|0,80|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Mario Viera|19/10/1959|Uruguay|05/11/2022|05/11/2023|365 días|34|1,21|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Jorge Pautasso|13/02/1962|Argentina, Italia|29/07/2022|31/10/2022|94 días|14|0,86|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Óscar Gambetta||Perú, Italia|29/07/2022|02/08/2022|4 días|1|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Mario Saralegui|24/04/1959|Uruguay|08/03/2022|28/07/2022|142 días|17|1,18|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Enrique Meza|14/11/1979|México|07/11/2021|07/03/2022|120 días|4|0,00|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Pablo Peirano|21/01/1975|Uruguay|13/03/2020|06/11/2021|603 días|55|1,58|Transfermarkt|2020|2026-06-11 19:19:24
Carlos A. Mannucci|Juan Manuel Llop|01/06/1963|Argentina|01/01/2020|07/03/2020|66 días|6|1,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Gerardo Ameli|18/09/1970|Argentina, Italia|08/03/2026||95 días|11|1,09|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Ángel Comizzo|27/04/1962|Argentina, Italia|06/08/2023|06/03/2026|943 días|92|1,20|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Daniel Ahmed|22/11/1965|Argentina, Perú|01/01/2023|02/08/2023|213 días|23|1,04|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Gustavo Álvarez|24/11/1972|Argentina|09/11/2021|11/11/2022|367 días|36|1,53|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Jesús Oropesa|31/03/1970|Perú|31/07/2021|30/11/2021|122 días|12|1,75|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Carlos García|25/06/1982|Perú|28/07/2021|31/07/2021|3 días|1|3,00|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Javier Arce|28/02/1957|Perú|27/01/2021|27/07/2021|181 días|13|1,85|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Rafael Castillo|26/09/1960|Perú|11/03/2020|31/12/2020|295 días|22|1,09|Transfermarkt|2020|2026-06-11 19:19:24
Club Atlético Grau|Pablo Zegarra|01/04/1973|Perú|08/01/2020|09/03/2020|61 días|9|0,56|Transfermarkt|2020|2026-06-11 19:19:24
